,DISTRICT,STREET ID,STREET NAME,SEC ID,BEG LOCATION,END LOCATION,AREA (SqFt),PCI DATE,PCI,Last MnR Date,Last MnR Treatment,Renovation Age (Years),Last Work Year,Treatment Category,Functional Classification,Length (feet),Width (feet),Surface
638176075,['8'],638176,EL CAMINO REAL,075,THE UPLANDS,DEAD END ABOVE THE UPLANDS,11640,2022-07-20,82,2008-04-14,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,485,24,Asphalt
214177060,['5'],214177,EL DORADO AVE,060,THE ALAMEDA,SUTTER ST,42570,2022-07-18,24,1996-10-01,RECONSTRUCT SURFACE (AC),25.0,1996.0,4 - Reconstruct,Residential/Local,1290,33,Asphalt
516185030,['6'],516185,EL PORTAL CT,030,DEAD END (LA LOMA AVE),LA LOMA AVE,4500,2022-07-06,10,,,,,,Residential/Local,250,18,Asphalt
840179070,['3'],840179,ELLIS ST,070,ASHBY AVE,ALCATRAZ AVE,74185,2022-07-11,73,2002-07-31,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,2005,37,Asphalt
728180050,"['4', '7']",728180,ELLSWORTH ST,050,DWIGHT WAY,BANCROFT WAY,47520,2022-07-28,99,2021-04-21,RECONSTRUCT SURFACE (AC),1.0,2021.0,4 - Reconstruct,Residential/Local,1320,36,Asphalt
736180060,"['3', '7']",736180,ELLSWORTH ST,060,DWIGHT WAY,CARLETON ST,36000,2022-07-28,90,2021-04-30,SLURRY SEAL,1.0,2021.0,0 - Light Maintenance,Residential/Local,1000,36,Asphalt
736180062,['3'],736180,ELLSWORTH ST,062,CARLETON ST,WARD ST,26040,2022-07-28,90,2021-04-30,SLURRY SEAL,1.0,2021.0,0 - Light Maintenance,Residential/Local,620,42,Asphalt
736180066,['3'],736180,ELLSWORTH ST,066,WARD ST,STUART ST,13860,2022-07-28,90,2021-04-30,SLURRY SEAL,1.0,2021.0,0 - Light Maintenance,Residential/Local,330,42,Asphalt
736180068,['3'],736180,ELLSWORTH ST,068,STUART ST,ASHBY AVE,49980,2022-10-25,80,2022-10-25,RUBBERIZED CAPE SEAL,-1.0,2022.0,1 - Heavy Maintenance,Residential/Local,1190,42,Asphalt
638182080,['8'],638182,ELMWOOD AVE,080,ASHBY AVE & ASHBY PL,PIEDMONT AVE,19380,2022-07-20,19,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,570,34,Asphalt
638183070,['8'],638183,ELMWOOD CT,070,ASHBY AVE,DEAD END (ASHBY AVE),8640,2022-07-20,76,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Residential/Local,270,32,Asphalt
739186060,['3'],739186,EMERSON ST,060,ADELINE ST,SHATTUCK AVE,28980,2022-07-08,100,2021-11-30,MILL AND OVERLAY,0.0,2021.0,3 - Heavy Rehab,Residential/Local,805,36,Overlay of asphalt over asphalt
739186065,['8'],739186,EMERSON ST,065,SHATTUCK AVE,WHEELER ST,20700,2022-07-08,21,2001-04-01,RECONSTRUCT SURFACE (AC),21.0,2001.0,4 - Reconstruct,Residential/Local,575,36,Asphalt
638187070,['8'],638187,ENCINA PL,070,THE PLAZA DR,THE UPLANDS,14000,2022-07-20,91,2003-07-28,RECONSTRUCT STRUCTURE (AC),18.0,2003.0,4 - Reconstruct,Residential/Local,350,40,Asphalt
213189010,['5'],213189,ENSENADA AVE,010,PERALTA AVE,SOLANO AVE,60885,2022-07-19,56,1999-09-08,RECONSTRUCT STRUCTURE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,2255,27,Asphalt
213189020,['5'],213189,ENSENADA AVE,020,SOLANO AVE,MARIN AVE,19620,2022-07-19,26,1999-09-08,RECONSTRUCT SURFACE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,545,36,Asphalt
423190040,['1'],423190,EOLA ST,040,VIRGINIA ST,FRANCISCO ST,7150,2022-07-21,26,1995-10-01,MILL AND OVERLAY W/FABRIC,26.0,1995.0,3 - Heavy Rehab,Residential/Local,325,22,Overlay of asphalt over asphalt
839191060,['3'],839191,ESSEX ST,060,ADELINE ST,TREMONT ST,12240,2022-07-08,100,2021-11-30,MILL AND OVERLAY,0.0,2021.0,3 - Heavy Rehab,Residential/Local,340,36,Overlay of asphalt over asphalt
739191062,['3'],739191,ESSEX ST,062,TREMONT ST,SHATTUCK AVE,20880,2022-07-08,100,2021-11-30,MILL AND OVERLAY,0.0,2021.0,3 - Heavy Rehab,Residential/Local,580,36,Overlay of asphalt over asphalt
739191064,['8'],739191,ESSEX ST,064,SHATTUCK AVE,WHEELER ST,21060,2022-07-08,20,2001-04-01,RECONSTRUCT SURFACE (AC),21.0,2001.0,4 - Reconstruct,Residential/Local,585,36,Asphalt
637192062,['8'],637192,ETNA ST,062,DWIGHT WAY,PARKER ST,23940,2022-07-29,26,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
637192064,['8'],637192,ETNA ST,064,PARKER ST,DERBY ST,23940,2022-07-29,29,1996-12-13,MILL AND THICK OVERLAY,25.0,1996.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
638193070,['8'],638193,ETON AVE,070,WOOLSEY ST,CLAREMONT AVE,27000,2022-07-20,82,2008-09-24,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,750,36,Overlay of asphalt over asphalt
638194070,['8'],638194,ETON CT,070,CLAREMONT AVE,DEAD END (CLAREMONT AVE),3750,2022-07-20,22,,,,,,Residential/Local,150,25,Overlay of asphalt over asphalt
638195070,['8'],638195,EUCALYPTUS RD,070,HILLCREST RD,SOUTH CITY LIMIT,11000,2022-07-20,50,1994-10-01,RECONSTRUCT STRUCTURE (AC),27.0,1994.0,4 - Reconstruct,Residential/Local,440,25,Asphalt
111196010,['6'],111196,EUCLID AVE,010,GRIZZLY PEAK BLVD,MARIN AVE,97728,2022-07-07,73,2001-11-30,RECONSTRUCT STRUCTURE (AC),20.0,2001.0,4 - Reconstruct,Collector,3054,32,Asphalt
112196015,['6'],112196,EUCLID AVE,015,MARIN AVE,REGAL RD,19200,2022-07-07,69,2001-11-21,RECONSTRUCT PCC,20.0,2001.0,4 - Reconstruct,Residential/Local,600,32,Asphalt
115196020,['6'],115196,EUCLID AVE,020,REGAL RD,CRAGMONT AVE,59000,2022-07-07,71,2001-11-30,RECONSTRUCT STRUCTURE (AC),20.0,2001.0,4 - Reconstruct,Collector,1475,40,Asphalt
115196024,['6'],115196,EUCLID AVE,024,CRAGMONT AVE,BEG OF DIVIDED ROAD,26650,2022-07-07,74,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,650,41,Asphalt
115196028,['6'],115196,EUCLID AVE,028,END OF DIVIDED ROAD,EUNICE ST,37800,2022-07-07,77,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,900,42,Asphalt
516196030,['6'],516196,EUCLID AVE,030,EUNICE ST,BAYVIEW PL,31320,2022-07-07,97,2020-11-07,MILL AND THICK OVERLAY,1.0,2020.0,3 - Heavy Rehab,Collector,870,36,Overlay of asphalt over asphalt
516196032,['6'],516196,EUCLID AVE,032,BAYVIEW PL,CEDAR ST,64260,2022-07-07,25,1990-11-01,MILL AND OVERLAY W/FABRIC,31.0,1990.0,3 - Heavy Rehab,Collector,1890,34,Overlay of asphalt over asphalt
525196040,['6'],525196,EUCLID AVE,040,CEDAR ST,HEARST AVE,56875,2022-07-07,38,1990-11-01,MILL AND OVERLAY W/FABRIC,31.0,1990.0,3 - Heavy Rehab,Collector,1625,35,Overlay of asphalt over asphalt
115196026,['6'],115196,EUCLID AVE (NB),026,BEG OF DIVIDED ROAD,END OF DIVIDED ROAD,15300,2022-07-07,77,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,850,18,Asphalt over Portland cement
115196027,['6'],115196,EUCLID AVE (SB),027,BEG OF DIVIDED ROAD,END OF DIVIDED ROAD,26195,2022-07-07,75,2017-12-01,SLURRY SEAL,4.0,2017.0,0 - Light Maintenance,Residential/Local,845,31,Asphalt over Portland cement
114197060,['5'],114197,EUNICE ST,060,MILVIA ST,CUL-DE-SAC,8100,2022-07-14,87,2015-07-15,MILL AND OVERLAY,7.0,2015.0,3 - Heavy Rehab,Residential/Local,225,36,Overlay of asphalt over asphalt
115197070,['6'],115197,EUNICE ST,070,SPRUCE ST,EUCLID AVE,43225,2022-07-08,22,,,,,,Residential/Local,1235,35,Overlay of asphalt over asphalt
319198030,['1'],319198,EVELYN AVE,030,NORTH CITY LIMIT,SANTA FE AVE,29400,2022-07-20,87,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,980,30,Asphalt
516210030,['6'],516210,FAIRLAWN DR,030,QUEENS RD,AVENIDA DR,54075,2022-07-07,88,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,2575,21,Overlay of asphalt over asphalt
516210038,['6'],516210,FAIRLAWN DR,038,AVENIDA DR,OLYMPUS DR,14145,2022-07-07,40,1993-07-01,RECONSTRUCT STRUCTURE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,615,23,Asphalt
940211047,['2'],940211,FAIRVIEW ST,047,BAKER ST,SACRAMENTO ST,22680,2022-07-12,67,1988-11-01,THIN OVERLAY w/FABRIC,33.0,1988.0,1 - Heavy Maintenance,Residential/Local,630,36,Overlay of asphalt over asphalt
840211050,['3'],840211,FAIRVIEW ST,050,SACRAMENTO ST,ADELINE ST,77220,2022-07-11,21,1991-09-01,MILL AND THICK OVERLAY,30.0,1991.0,3 - Heavy Rehab,Residential/Local,2145,36,Overlay of asphalt over asphalt
839211060,['3'],839211,FAIRVIEW ST,060,ADELINE ST,CITY LIMIT (DOVER ST),19080,2022-07-11,26,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,530,36,Asphalt
736213068,['8'],736213,FLORANCE ST,068,RUSSELL ST,ASHBY AVE,19080,2022-07-28,24,1998-11-25,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,530,36,Overlay of asphalt over asphalt
112214060,['5'],112214,FLORIDA AVE,060,SANTA BARBARA RD,DEAD END (FLORIDA WALK),10400,2022-07-18,70,,,,,,Residential/Local,400,26,Asphalt
920216020,['2'],920216,FOLGER AVE,020,WEST END,HOLLIS ST,15330,2022-07-13,92,2019-07-03,RECONSTRUCT STRUCTURE (AC),3.0,2019.0,4 - Reconstruct,Residential/Local,365,42,Asphalt
920216024,['2'],920216,FOLGER AVE,024,HOLLIS ST,7TH ST,15330,2022-07-13,80,2015-11-20,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Collector,365,42,Overlay of asphalt over asphalt
920216025,['2'],920216,FOLGER AVE,025,7TH ST,SAN PABLO AVE,55650,2022-07-13,70,,,,,,Collector,1325,42,Asphalt
637217080,['8'],637217,FOREST AVE,080,COLLEGE AVE,CLAREMONT BLVD,67500,2022-07-29,33,1996-08-01,RECONSTRUCT STRUCTURE (AC),25.0,1996.0,4 - Reconstruct,Residential/Local,1875,36,Asphalt
115218070,['6'],115218,FORREST LANE,070,HILLDALE AVE,KEELER AVE,9880,2022-07-08,34,1999-09-08,RECONSTRUCT SURFACE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,520,19,Asphalt
115218072,['6'],115218,FORREST LANE,072,KEELER AVE,GRIZZLY PEAK BLVD,13530,2022-07-08,20,1999-09-08,RECONSTRUCT SURFACE (AC),22.0,1999.0,4 - Reconstruct,Residential/Local,615,22,Asphalt
115218073,['6'],115218,FORREST LANE,073,GRIZZLY PEAK BLVD,CRESTON RD,7414,2022-07-08,17,,,,,,Residential/Local,337,22,Asphalt
322221040,['1'],322221,FRANCISCO ST,040,SAN PABLO AVE,CHESTNUT ST,41100,2022-07-21,17,1993-08-01,RECONSTRUCT SURFACE (AC),28.0,1993.0,4 - Reconstruct,Residential/Local,1370,30,Asphalt
322221045,['1'],322221,FRANCISCO ST,045,CHESTNUT ST,DEAD END,33900,2022-07-21,24,1995-07-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1130,30,Overlay of asphalt over asphalt
423221050,['1'],423221,FRANCISCO ST,050,SACRAMENTO ST,MARTIN LUTHER KING JR WAY,93960,2022-07-21,19,1995-10-01,RECONSTRUCT SURFACE (AC),26.0,1995.0,4 - Reconstruct,Residential/Local,2610,36,Asphalt
424221060,['4'],424221,FRANCISCO ST,060,MARTIN LUTHER KING JR WAY,MILVIA ST,24120,2022-07-21,24,1995-10-01,RECONSTRUCT SURFACE (AC),26.0,1995.0,4 - Reconstruct,Residential/Local,670,36,Asphalt
524221063,['4'],524221,FRANCISCO ST,063,MILVIA ST,SHATTUCK AVE,24120,2022-07-26,25,1995-10-01,RECONSTRUCT SURFACE (AC),26.0,1995.0,4 - Reconstruct,Residential/Local,670,36,Asphalt
322222042,['1'],322222,FRANKLIN ST,042,CEDAR ST,FRANCISCO ST,38950,2022-07-21,77,2004-08-31,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,1025,38,Asphalt
322222044,['1'],322222,FRANKLIN ST,044,FRANCISCO ST,HEARST AVE,28310,2022-07-21,81,2004-08-31,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,745,38,Asphalt
213223020,['5'],213223,FRESNO AVE,020,SOLANO AVE,MARIN AVE,32400,2022-07-19,44,1996-10-01,RECONSTRUCT STRUCTURE (AC),25.0,1996.0,4 - Reconstruct,Residential/Local,900,36,Asphalt
213223022,['5'],213223,FRESNO AVE,022,MARIN AVE,SONOMA AVE,47160,2022-07-19,30,1998-08-10,MILL AND OVERLAY W/FABRIC,23.0,1998.0,3 - Heavy Rehab,Residential/Local,1310,36,Overlay of asphalt over asphalt
728227048,"['4', '7']",728227,FULTON ST,048,KITTREDGE ST,BANCROFT WAY,21105,2022-07-27,77,2002-09-13,RECONSTRUCT STRUCTURE (AC),19.0,2002.0,4 - Reconstruct,Arterial,315,67,Asphalt
728227050,"['4', '7']",728227,FULTON ST,050,BANCROFT WAY,DURANT AVE,17820,2022-07-27,84,2015-07-31,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,330,54,Overlay of asphalt over asphalt
728227052,['4'],728227,FULTON ST,052,DURANT AVE,DWIGHT WAY,35640,2022-07-08,87,2015-07-31,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Arterial,990,36,Overlay of asphalt over asphalt
736227060,['3'],736227,FULTON ST,060,DWIGHT WAY,BLAKE ST,11232,2022-09-26,100,2022-09-26,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Residential/Local,312,36,Overlay of asphalt over asphalt
736227061,['3'],736227,FULTON ST,061,BLAKE ST,PARKER ST,12528,2022-09-26,100,2022-09-26,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Residential/Local,348,36,Overlay of asphalt over asphalt
736227063,['3'],736227,FULTON ST,063,PARKER ST,STUART ST,47448,2022-09-26,100,2022-09-26,MILL AND THICK OVERLAY,-1.0,2022.0,3 - Heavy Rehab,Residential/Local,1318,36,Overlay of asphalt over asphalt
736227065,['3'],736227,FULTON ST,065,STUART ST,ASHBY AVE,41976,2022-07-08,82,2014-07-09,MILL AND OVERLAY,8.0,2014.0,3 - Heavy Rehab,Residential/Local,1166,36,Overlay of asphalt over asphalt
739227070,['8'],739227,FULTON ST,070,ASHBY ST,PRINCE ST,29160,2022-07-08,72,2008-09-25,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,810,36,Overlay of asphalt over asphalt
637240085,['8'],637240,GARBER ST,085,WEST END,OAK KNOLL TERRACE,12100,2022-07-29,26,,,,,,Residential/Local,550,22,Asphalt
637240088,['8'],637240,GARBER ST,088,BELROSE AVE,EAST CITY LIMIT (TANGLEWOOD),10800,2022-07-29,41,1996-08-01,MILL AND OVERLAY W/FABRIC,25.0,1996.0,3 - Heavy Rehab,Residential/Local,450,24,Overlay of asphalt over asphalt
320241015,['1'],320241,GILMAN ST,015,ENTRANCE OF FWY,EASTSHORE HIGHWAY,29450,2022-07-26,35,2008-07-30,RECONSTRUCT STRUCTURE (AC),13.0,2008.0,4 - Reconstruct,Residential/Local,475,62,Asphalt
320241018,['1'],320241,GILMAN ST,018,EASTSHORE HIGHWAY,2ND ST,13950,2022-07-26,60,,,,,,Residential/Local,225,62,Asphalt
320241020,['1'],320241,GILMAN ST,020,2ND ST,3RD ST (RR TRACKS),23280,2022-07-26,60,2008-07-30,RECONSTRUCT STRUCTURE (AC),13.0,2008.0,4 - Reconstruct,Arterial,485,48,Asphalt
320241024,['1'],320241,GILMAN ST,024,3RD ST (RR TRACKS),6TH ST,48000,2022-07-26,53,2008-07-08,MILL AND THICK OVERLAY,14.0,2008.0,3 - Heavy Rehab,Arterial,1000,48,Overlay of asphalt over asphalt
320241030,['1'],320241,GILMAN ST,030,6TH ST,8TH ST,31440,2022-07-26,53,2008-07-08,MILL AND THICK OVERLAY,14.0,2008.0,3 - Heavy Rehab,Arterial,655,48,Overlay of asphalt over asphalt
320241035,['1'],320241,GILMAN ST,035,8TH ST,SAN PABLO AVE,47760,2022-07-26,32,2008-07-08,MILL AND THICK OVERLAY,14.0,2008.0,3 - Heavy Rehab,Arterial,995,48,Overlay of asphalt over asphalt
319241040,['1'],319241,GILMAN ST,040,SAN PABLO AVE,SANTA FE AVE,54910,2022-07-26,44,,,,,,Arterial,1445,38,Overlay of asphalt over asphalt
319241045,['1'],319241,GILMAN ST,045,SANTA FE AVE,HOPKINS ST,57420,2022-07-18,40,,,,,,Arterial,1595,36,Asphalt
115242020,['6'],115242,GLEN AVE,020,OAK ST,EUNICE ST,14280,2022-07-07,85,2016-05-19,MILL AND OVERLAY,6.0,2016.0,3 - Heavy Rehab,Residential/Local,510,28,Overlay of asphalt over asphalt
516242030,['6'],516242,GLEN AVE,030,EUNICE ST,CORNER BETWEEN SUMMER/ARCH,13640,2022-07-07,13,,,,,,Residential/Local,620,22,Asphalt
516242033,['6'],516242,GLEN AVE,033,CORNER BETWEEN SUMMER/ARCH,SPRUCE ST,13340,2022-07-07,12,,,,,,Residential/Local,580,23,Asphalt
516243030,['6'],516243,GLENDALE AVE,030,CAMPUS DR,LA LOMA AVE,20480,2022-07-06,74,2015-12-15,MILL AND OVERLAY,6.0,2015.0,3 - Heavy Rehab,Collector,640,32,Overlay of asphalt over asphalt
516243034,['6'],516243,GLENDALE AVE,034,LA LOMA AVE,DEL MAR AVE,14850,2022-07-06,30,1995-06-01,RECONSTRUCT STRUCTURE (AC),27.0,1995.0,4 - Reconstruct,Residential/Local,675,22,Asphalt
418245030,['5'],418245,GRANT ST,030,NORTH END,ROSE ST,11160,2022-07-14,48,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,310,36,Overlay of asphalt over asphalt
418245032,['5'],418245,GRANT ST,032,ROSE ST,CEDAR ST,47700,2022-07-14,61,1995-06-01,MILL AND OVERLAY W/FABRIC,27.0,1995.0,3 - Heavy Rehab,Residential/Local,1325,36,Overlay of asphalt over asphalt
423245040,['1'],423245,GRANT ST,040,CEDAR ST,LINCOLN ST,11448,2022-07-21,55,1997-07-22,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,318,36,Overlay of asphalt over asphalt
423245041,['1'],423245,GRANT ST,041,LINCOLN ST,VIRGINIA ST,11520,2022-07-21,47,1997-07-22,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,320,36,Overlay of asphalt over asphalt
423245042,['1'],423245,GRANT ST,042,VIRGINIA ST,FRANCISCO ST,11448,2022-07-21,24,1997-07-22,MILL AND THICK OVERLAY,25.0,1997.0,3 - Heavy Rehab,Residential/Local,318,36,Overlay of asphalt over asphalt
423245044,['1'],423245,GRANT ST,044,FRANCISCO ST,OHLONE PARK,18900,2022-07-21,97,2019-10-11,MILL AND THICK OVERLAY,2.0,2019.0,3 - Heavy Rehab,Residential/Local,525,36,Overlay of asphalt over asphalt
423245048,['1'],423245,GRANT ST,048,HEARST AVE,UNIVERSITY AVE,21600,2022-07-21,63,2004-12-15,RECONSTRUCT SURFACE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,600,36,Asphalt
830245051,['4'],830245,GRANT ST,051,UNIVERSITY AVE,ADDISON ST,14070,2022-07-21,90,2004-12-15,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,335,42,Asphalt
830245053,['4'],830245,GRANT ST,053,ADDISON ST,ALLSTON WAY,27930,2022-07-27,37,2000-09-13,MEDIUM AC OVERLAY (2 INCHES),21.0,2000.0,2 - Light Rehab,Residential/Local,665,42,Overlay of asphalt over asphalt
830245055,['4'],830245,GRANT ST,055,ALLSTON WAY,BANCROFT WAY,28140,2022-07-27,85,2004-12-15,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,670,42,Asphalt
830245057,['4'],830245,GRANT ST,057,BANCROFT WAY,CHANNING WAY,28140,2022-07-27,41,2000-09-13,MEDIUM AC OVERLAY (2 INCHES),21.0,2000.0,2 - Light Rehab,Residential/Local,670,42,Overlay of asphalt over asphalt
830245059,['4'],830245,GRANT ST,059,CHANNING WAY,DWIGHT WAY,27930,2022-07-12,77,2004-12-15,RECONSTRUCT STRUCTURE (AC),17.0,2004.0,4 - Reconstruct,Residential/Local,665,42,Asphalt
834245060,['3'],834245,GRANT ST,060,DWIGHT WAY,OREGON ST,81576,2022-07-12,31,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,2266,36,Asphalt
834245061,['3'],834245,GRANT ST,061,NORTH END (GROVE PARK),RUSSELL ST,7056,2022-07-12,37,,,,,,Residential/Local,196,36,Asphalt
920246020,['2'],920246,GRAYSON ST,020,3RD ST (WEST END),SAN PABLO AVE,92448,2022-07-13,66,2000-07-29,RECONSTRUCT STRUCTURE (AC),21.0,2000.0,4 - Reconstruct,Residential/Local,2568,36,Asphalt
516248030,['6'],516248,GREENWOOD TERRACE,030,ROSE ST,BUENA VISTA WAY,8075,2022-07-07,18,,,,,,Residential/Local,475,17,Asphalt
111249010,['6'],111249,GRIZZLY PEAK BLVD,010,NORTH CITY LIMIT (SPRUCE ST),EUCLID AVE,36750,2022-07-06,23,1990-11-01,MILL AND THICK OVERLAY,31.0,1990.0,3 - Heavy Rehab,Collector,1050,35,Overlay of asphalt over asphalt
111249015,['6'],111249,GRIZZLY PEAK BLVD,015,EUCLID AVE,KEELER AVE,37500,2022-07-06,19,1990-11-01,MILL AND THICK OVERLAY,31.0,1990.0,3 - Heavy Rehab,Collector,1250,30,Overlay of asphalt over asphalt
115249020,['6'],115249,GRIZZLY PEAK BLVD,020,MARIN AVE,SHASTA RD (S),138210,2022-07-06,82,2014-07-09,MILL AND THICK OVERLAY,8.0,2014.0,3 - Heavy Rehab,Collector,4065,34,Overlay of asphalt over asphalt
116249029,['6'],116249,GRIZZLY PEAK BLVD,029,SHASTA RD (S),ARCADE AVE,34080,2022-07-06,76,2016-06-15,SLURRY SEAL,6.0,2016.0,0 - Light Maintenance,Collector,1065,32,Overlay of asphalt over asphalt
516249032,['6'],516249,GRIZZLY PEAK BLVD,032,ARCADE AVE,HILL RD,25120,2022-07-06,89,2016-05-24,MILL AND OVERLAY,6.0,2016.0,3 - Heavy Rehab,Collector,785,32,Overlay of asphalt over asphalt
516249035,['6'],516249,GRIZZLY PEAK BLVD,035,HILL RD,EAST CITY LIMIT,80480,2022-07-06,50,1986-11-01,THICK OVERLAY W/FABRIC,35.0,1986.0,3 - Heavy Rehab,Collector,2515,32,Overlay of asphalt over asphalt
739260070,['8'],739260,HALCYON CT,070,WEBSTER ST,PRINCE ST,26220,2022-07-28,81,2011-10-14,MILL AND THICK OVERLAY,10.0,2011.0,3 - Heavy Rehab,Residential/Local,460,57,Overlay of asphalt over asphalt
111261070,['6'],111261,HALKIN LANE,070,SPRUCE ST,CRAGMONT AVE,11330,2022-07-08,50,1992-10-01,MILL AND THICK OVERLAY,29.0,1992.0,3 - Heavy Rehab,Residential/Local,515,22,Overlay of asphalt over asphalt
516263030,['6'],516263,HARDING CIRCLE,030,OLYMPUS AVE,END,2470,2022-07-08,45,1993-07-01,RECONSTRUCT SURFACE (AC),29.0,1993.0,4 - Reconstruct,Residential/Local,65,38,Asphalt
940264045,['2'],940264,HARMON ST,045,IDAHO ST,SACRAMENTO ST,36900,2022-07-12,11,1991-09-01,MILL AND OVERLAY W/FABRIC,30.0,1991.0,3 - Heavy Rehab,Residential/Local,1025,36,Overlay of asphalt over asphalt
840264050,['3'],840264,HARMON ST,050,SACRAMENTO ST,ADELINE ST,71460,2022-07-12,63,1989-12-01,RECONSTRUCT STRUCTURE (AC),32.0,1989.0,4 - Reconstruct,Residential/Local,1985,36,Asphalt
729265050,['4'],729265,HAROLD WAY,050,ALLSTON WAY,KITTREDGE ST,11700,2022-07-27,47,1989-12-01,MILL AND OVERLAY W/FABRIC,32.0,1989.0,3 - Heavy Rehab,Residential/Local,325,36,Overlay of asphalt over asphalt
834266068,['3'],834266,HARPER ST,068,RUSSELL ST,ASHBY AVE,23940,2022-07-11,67,2008-09-03,MILL AND THICK OVERLAY,13.0,2008.0,3 - Heavy Rehab,Residential/Local,665,36,Overlay of asphalt over asphalt
840266070,['3'],840266,HARPER ST,070,ASHBY AVE,WOOLSEY ST,33660,2022-07-11,58,2002-07-31,RECONSTRUCT SURFACE (AC),19.0,2002.0,4 - Reconstruct,Residential/Local,935,36,Asphalt
840266072,['3'],840266,HARPER ST,072,WOOLSEY ST,FAIRVIEW ST,11016,2022-07-11,74,,,,,,Residential/Local,306,36,Asphalt
320267020,['1'],320267,HARRISON ST,020,EASTSHORE HWY,2ND ST,13230,2022-07-20,42,,,,,,Residential/Local,270,49,Asphalt
320267022,['1'],320267,HARRISON ST,022,WEST END (3RD ST),6TH ST,31790,2022-07-21,70,2000-09-13,RECONSTRUCT STRUCTURE (AC),21.0,2000.0,4 - Reconstruct,Residential/Local,935,34,Asphalt
320267030,['1'],320267,HARRISON ST,030,6TH ST,8TH ST,22575,2022-07-21,72,,,,,,Residential/Local,645,35,Overlay of asphalt over asphalt
320267034,['1'],320267,HARRISON ST,034,8TH ST,SAN PABLO AVE,34650,2022-07-21,78,2008-07-18,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,990,35,Asphalt
319267040,['1'],319267,HARRISON ST,040,SAN PABLO AVE,STANNAGE AVE,17820,2022-07-21,77,2008-07-18,RECONSTRUCT STRUCTURE (AC),14.0,2008.0,4 - Reconstruct,Residential/Local,495,36,Asphalt
516268030,['6'],516268,HARVARD CIRCLE,030,FAIRLAWN DR & SENIOR AVE,FAIRLAWN DR,3000,2022-07-07,33,,,,,,Residential/Local,100,30,Asphalt
940269040,['2'],940269,HASKELL ST,040,SAN PABLO AVE,ACTON ST,54180,2022-07-12,76,2007-08-29,RECONSTRUCT STRUCTURE (AC),14.0,2007.0,4 - Reconstruct,Residential/Local,1505,36,Asphalt
729270060,['4'],729270,HASTE ST,060,FULTON ST,SHATTUCK AVE,20880,2022-07-27,23,1993-08-01,MILL AND OVERLAY W/FABRIC,28.0,1993.0,3 - Heavy Rehab,Arterial,580,36,Overlay of asphalt over asphalt
